S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,-,"1,100.00","1,100.00","1,061.00","1,079.00","1,079.71","1,765.00","1,080.00","1,905,692.70",51,-1,39,-0.09,3.68,-0.07,"1,052.75",917.88,"1,491.00",500.1
2,ADBL,-,400,400,392.3,394,394.97,"84,201.00",395.4,"33,256,727.10",476,-1.4,7.7,-0.35,1.96,-0.25,311.79,286.44,428.4,223
3,ADBLD83,-,"1,110.00","1,110.00","1,110.00","1,110.00","1,110.00",500,"1,100.00","555,000.00",2,10,0,0.91,0,0,"1,060.38","1,039.70","1,138.50",966
4,AHL,-,702.7,702.7,675.1,683,689.37,"8,438.00",689,"5,816,913.10",125,-6,27.6,-0.87,4.09,-0.93,575.78,530,904,297.3
5,AHPC,-,292,297.7,287,289,293.18,"296,227.00",289,"86,849,246.80",869,0,10.7,0,3.73,-1.45,212.54,210.72,349,149
6,AKJCL,-,225,228,219.5,220,223.02,"58,750.00",223.9,"13,102,653.90",327,-3.9,8.5,-1.74,3.87,-1.37,211.89,215.7,274.9,141.3
7,AKPL,-,265.6,271,260.9,260.9,267.24,"231,520.00",265.7,"61,870,697.30",730,-4.8,10.1,-1.81,3.87,-2.43,205.29,199.71,326,154.5
8,ALBSL,-,"1,084.00","1,085.00","1,066.00","1,072.20","1,080.79","2,511.00","1,073.00","2,713,857.90",81,-0.8,19,-0.07,1.78,-0.8,988.59,892.1,"1,177.00",543
9,ALICL,-,721.5,748,721.5,730.2,739.09,"38,290.00",734.9,"28,299,614.80",156,-4.7,26.5,-0.64,3.67,-1.22,645.79,638.01,825,523
10,ANLB,-,"4,660.00","4,660.00","4,570.00","4,596.00","4,595.54",422,"4,740.00","1,939,316.40",14,-144,90,-3.04,1.97,0.01,"3,091.72","2,703.89","5,705.00","1,550.00"
11,API,-,315,317,310,311,314.12,"426,103.00",311.9,"133,846,538.60","1,803",-0.9,7,-0.29,2.26,-1,232.32,218.32,390,154.7
12,AVYAN,-,905.1,950,905.1,927,932.16,"2,149.00",921,"2,003,210.80",52,6,44.9,0.65,4.96,-0.56,924.34,824.94,"1,195.00",550
13,BARUN,-,356.2,384.9,356.1,365,369.21,"34,473.00",363.1,"12,727,798.50",189,1.9,28.8,0.52,8.09,-1.15,307.73,290.63,431.2,191.1
14,BBC,-,"4,410.00","4,410.00","4,290.10","4,290.10","4,342.51",535,"4,430.00","2,323,243.00",27,-139.9,119.9,-3.16,2.79,-1.22,"4,155.03","4,036.64","5,314.00","3,405.50"
